2026-04-19 01:30:17,333 [INFO] Reading raw offers from C:\Users\marouane\Desktop\FindJob\transformers\data\adzuna_raw.json
2026-04-19 01:30:17,352 [INFO] Loaded 1000 raw offers
2026-04-19 01:30:17,385 [INFO] Transformed offer | poste='Data Automation internship' | societe='Procter & Gamble' | lieu='Asnières-sur-Seine, Nanterre' | contrat=Stage | seniorite=Stage | tech=1
2026-04-19 01:30:17,388 [INFO] Transformed offer | poste='Data Engineer - Data Factory - Services Financiers - Nantes' | societe='Sopra Steria' | lieu='Nantes, Loire-Atlantique' | contrat=None | seniorite=None | tech=1
2026-04-19 01:30:17,390 [INFO] Transformed offer | poste='Alternance – Data Engineer – Services Financiers – Data factory -Nantes' | societe='Sopra Steria' | lieu='Nantes, Loire-Atlantique' | contrat=Alternance | seniorite=Alternance | tech=1
2026-04-19 01:30:17,392 [INFO] Transformed offer | poste='Big Data Engineer - Services Financiers - Ile de France' | societe='Sopra Steria' | lieu='Paris, Ile-de-France' | contrat=None | seniorite=None | tech=1
2026-04-19 01:30:17,393 [INFO] Transformed offer | poste='Data Analyst - Data Factory - Services Financiers - Nantes' | societe='Sopra Steria' | lieu='Nantes, Loire-Atlantique' | contrat=None | seniorite=None | tech=1
2026-04-19 01:30:17,395 [INFO] Transformed offer | poste='DATA SCIENTIST' | societe='GROUPE CAISSE DES DEPOTS' | lieu='France' | contrat=None | seniorite=None | tech=1
2026-04-19 01:30:17,397 [INFO] Transformed offer | poste='DATA ANALYST (F/H)' | societe='Expectra' | lieu='Toulouse 14e Canton, Toulouse' | contrat=CDD | seniorite=None | tech=1
2026-04-19 01:30:17,399 [INFO] Transformed offer | poste='Data Engineer' | societe='Extia' | lieu='France' | contrat=None | seniorite=None | tech=1
2026-04-19 01:30:17,400 [INFO] Transformed offer | poste='Data Engineer - Aeroline - Aix-en-Provence' | societe='Sopra Steria' | lieu='Aix-en-Provence, Bouches-du-Rhône' | contrat=None | seniorite=None | tech=1
2026-04-19 01:30:17,402 [INFO] Transformed offer | poste='DATA ANALYST (F/H)' | societe='Expectra' | lieu='Toulouse 14e Canton, Toulouse' | contrat=CDD | seniorite=None | tech=1
2026-04-19 01:30:17,404 [INFO] Transformed offer | poste='Data Scientist' | societe='Direct Assurance' | lieu='Suresnes, Nanterre' | contrat=None | seniorite=None | tech=2
